bookId,name,location,isbn,publisher,author,isBorrowed
0,Classical Mythology,1F Section: 5,0195153448,Oxford University Press,Mark P. O. Morford,False
1,Clara Callan,2F Section: 8,0002005018,HarperFlamingo Canada,Richard Bruce Wright,False
2,Decision in Normandy,1F Section: 6,0060973129,HarperPerennial,Carlo D'Este,True
3,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,3F Section: 16,0374157065,Farrar Straus Giroux,Gina Bari Kolata,False
4,The Mummies of Urumchi,2F Section: 5,0393045218,W. W. Norton &amp; Company,E. J. W. Barber,False
5,The Kitchen God's Wife,1F Section: 0,0399135782,Putnam Pub Group,Amy Tan,False
6,What If?: The World's Foremost Military Historians Imagine What Might Have Been,3F Section: 19,0425176428,Berkley Publishing Group,Robert Cowley,False
7,PLEADING GUILTY,3F Section: 16,0671870432,Audioworks,Scott Turow,False
8,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,3F Section: 20,0679425608,Random House,David Cordingly,False
9,Where You'll Find Me: And Other Stories,1F Section: 10,074322678X,Scribner,Ann Beattie,False
10,Nights Below Station Street,1F Section: 17,0771074670,Emblem Editions,David Adams Richards,False
11,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,2F Section: 18,080652121X,Citadel Press,Adam Lebor,False
12,The Middle Stories,3F Section: 22,0887841740,House of Anansi Press,Sheila Heti,False
13,Jane Doe,3F Section: 8,1552041778,Mira Books,R. J. Kaiser,False
14,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),3F Section: 26,1558746218,Health Communications,Jack Canfield,False
15,The Witchfinder (Amos Walker Mystery Series),1F Section: 21,1567407781,Brilliance Audio - Trade,Loren D. Estleman,False
16,More Cunning Than Man: A Social History of Rats and Man,2F Section: 25,1575663937,Kensington Publishing Corp.,Robert Hendrickson,False
17,Goodbye to the Buttermilk Sky,3F Section: 19,1881320189,River City Pub,Julia Oliver,False
18,The Testament,1F Section: 9,0440234743,Dell,John Grisham,False
19,Beloved (Plume Contemporary Fiction),1F Section: 3,0452264464,Plume,Toni Morrison,False
20,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,2F Section: 11,0609804618,Three Rivers Press,The Onion,False
21,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,1F Section: 19,1841721522,Ryland Peters &amp; Small Ltd,Celia Brooks Brown,True
22,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,1F Section: 19,1879384493,Cypress House,J. R. Parrish,False
23,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),2F Section: 15,0061076031,HarperEntertainment,Mary-Kate &amp; Ashley Olsen,False
24,Tell Me This Isn't Happening,3F Section: 10,0439095026,Scholastic,Robynn Clairday,False
25,Flood : Mississippi 1927,1F Section: 22,0689821166,Aladdin,Kathleen Duey,False
26,Wild Animus,2F Section: 2,0971880107,Too Far,Rich Shapero,False
27,Airframe,1F Section: 21,0345402871,Ballantine Books,Michael Crichton,True
28,Timeline,1F Section: 24,0345417623,Ballantine Books,MICHAEL CRICHTON,False
29,OUT OF THE SILENT PLANET,2F Section: 9,0684823802,Scribner,C.S. Lewis,False
30,Prague : A Novel,2F Section: 11,0375759778,Random House Trade Paperbacks,ARTHUR PHILLIPS,False
31,Chocolate Jesus,1F Section: 23,0425163091,Berkley Publishing Group,Stephan Jaramillo,False
32,Wie Barney es sieht.,2F Section: 3,3404921038,LÃ?Â¼bbe,Mordecai Richler,False
33,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,3F Section: 4,3442353866,Goldmann,Eleanor Cooney,False
34,Sturmzeit. Roman.,2F Section: 28,3442410665,Goldmann,Charlotte Link,False
