Reservation
borrowId,userId,bookId,startTime,dueTime,isExtended,status
0,21,16,2023-12-02,2023-12-09,False,borrowing
1,79,102,2023-11-27,2023-12-04,False,borrowing
2,60,112,2023-11-28,2023-12-05,False,borrowing
3,65,139,2023-11-27,2023-12-09,True,borrowing
4,65,168,2023-11-30,2023-12-07,False,borrowing
5,32,217,2023-11-26,2023-12-08,True,borrowing
6,51,266,2023-12-02,2023-12-09,False,borrowing
7,70,336,2023-11-26,2023-12-03,False,borrowing
8,4,383,2023-11-29,2023-12-06,False,returned
9,74,392,2023-11-26,2023-12-03,False,returned
10,50,397,2023-12-05,2023-12-12,False,borrowing
11,1,487,2023-11-29,2023-12-06,False,borrowing
12,6,542,2023-11-30,2023-12-07,False,returned
13,19,601,2023-12-04,2023-12-11,False,returned
14,77,631,2023-11-27,2023-12-04,False,borrowing
15,38,727,2023-11-29,2023-12-06,False,borrowing
16,38,733,2023-12-02,2023-12-09,False,returned
17,45,800,2023-11-26,2023-12-03,False,borrowing
18,40,803,2023-12-05,2023-12-12,False,borrowing
19,47,999,2023-11-28,2023-12-05,False,borrowing
